,item_url
112,https://www.liveauctioneers.com/item/6535568_11668-picasso-matisse-chagall-dufy-van-dongen-braque-v
113,https://www.liveauctioneers.com/item/17449234_picasso-pablo-quatre-femmes-nue-et-tte-sculpte
114,https://www.liveauctioneers.com/item/46080231_pablo-picasso-cubist-collage
115,https://www.liveauctioneers.com/item/13940152_6190-drawing-pablo-picasso-nue-accroupi
116,https://www.liveauctioneers.com/item/52524057_pablo-picasso-1991-1973-spanish
117,https://www.liveauctioneers.com/item/60224952_after-pablo-picasso-spanishfrench-1881-1973-le
118,https://www.liveauctioneers.com/item/36277950_pablo-picasso-1881-1973-spanish-for-madoura
119,https://www.liveauctioneers.com/item/41873603_pablo-picasso-scene-de-tauromachique-unique
120,https://www.liveauctioneers.com/item/8434740_94-pablo-picasso-spanish-1881-1973-pique-noir-et-b
121,https://www.liveauctioneers.com/item/53137526_63258-pablo-picasso-spanish-1881-1973-pichet-gla
122,https://www.liveauctioneers.com/item/35559487_pablo-picasso-spanish-1881-1973-color-aquatint
123,https://www.liveauctioneers.com/item/8870184_pablo-picasso-tte-de-femme-no-6-portrait-de-dora-ma
124,https://www.liveauctioneers.com/item/6869214_178-pablo-picasso-linocut
125,https://www.liveauctioneers.com/item/51151870_after-pablo-picasso-sp-1881-1973-les-portraits
126,https://www.liveauctioneers.com/item/11573658_8357-picasso-pablo-l-italienne
127,https://www.liveauctioneers.com/item/10695151_140-pablo-picasso-spanish-1881-1973-laughing-eyed-f
128,https://www.liveauctioneers.com/item/9039748_465-pablo-picasso-spanish-1881-1973-jeune-homme-c
129,https://www.liveauctioneers.com/item/17104620_pablo-picasso
130,https://www.liveauctioneers.com/item/21830630_pablo-picasso-vase-edition-picasso-madoura
131,https://www.liveauctioneers.com/item/41118101_pablo-picasso-bearded-man-s-wife-r193
132,https://www.liveauctioneers.com/item/9395497_153-pablo-picasso-1881-1973
133,https://www.liveauctioneers.com/item/15927137_pablo-picasso-madoura-large-charger
134,https://www.liveauctioneers.com/item/6676665_12484-pablo-picasso-original-drawing
135,https://www.liveauctioneers.com/item/48333147_petit-djeuner-sur-l-herbe-d-aprs-manet
136,https://www.liveauctioneers.com/item/37774511_pablo-picasso-1871-1973-face-and-owl-ceramics-1958
137,https://www.liveauctioneers.com/item/32791181_pablo-picasso-1881-1973-quatre-profiles-enlacs-1949
138,https://www.liveauctioneers.com/item/8152919_8232-picasso-pablo-jeunesse
139,https://www.liveauctioneers.com/item/60484912_pablo-picasso-1881-1973-poisson-fond-bleu-ar-171
140,https://www.liveauctioneers.com/item/15729914_pablo-picasso-1881-1973-tete-de-taureau-1955-56
141,https://www.liveauctioneers.com/item/46061411_picasso-s-woman-s-head-pitcher-1954
142,https://www.liveauctioneers.com/item/43146116_after-pablo-picasso
143,https://www.liveauctioneers.com/item/59972541_large-pablo-picasso-hibou-brillant-charger-ar-285
144,https://www.liveauctioneers.com/item/45781072_pablo-picasso-jacqueline-at-the-easel-plate
145,https://www.liveauctioneers.com/item/6869216_180-pablo-picasso-linocut
146,https://www.liveauctioneers.com/item/16813322_pablo-picasso-tte-de-femme-iv
147,https://www.liveauctioneers.com/item/6875100_230-pablo-picasso-spanish-1881-1973-imaginary-por
148,https://www.liveauctioneers.com/item/17104622_pablo-picasso
149,https://www.liveauctioneers.com/item/56362490_pablo-picasso-picador-et-taureau
150,https://www.liveauctioneers.com/item/11366112_9-pablo-picasso-vase-with-two-handles-1952
151,https://www.liveauctioneers.com/item/21945563_pablo-picasso-senza-titolo
